,CPRO,LITPRO,CUMUN,LITMUN,CUDIS,ALQM2mes_LV_M_VC_21,time_pub_trans,time_priv_trans,str_line_dist,has_beach,has_parks,parks_surface,pt_lines,avg_inc_hh,ibi_urb,ibi_rur,cat_update,vpo,rented_houses_mitma,population,foreign_born_rate,superior_studies_rate,unemployment_rate,has_tram,has_metro,has_rodalies,has_fgc,pop_density,industrial_waste,population_growth,new_houses,mob_estud
39,8,Barcelona,8089,Gavà,808904,8.85416666666667,49,40,17.15,0,1,59651.25,18,36989,0.644,0.9,2001,30,197,4259,0.1774897393754402,0.2941529936604836,0.1247474054942475,0,0,0,0,1526.2,15742.8,0.10336787564766839,1.7,0.87130076
40,8,Barcelona,8101,"Hospitalet de Llobregat, L'",810101,11.3078461538462,21,28,6.04,0,1,67548.02,58,37097,0.8213,0.43,2000,39,3244,51879,0.1817770735750496,0.3187884539023497,0.1175409221457623,0,1,1,1,21343.3,28295.74,-0.07705034691336062,2.9,0.81380621
41,8,Barcelona,8101,"Hospitalet de Llobregat, L'",810102,11.8538961038961,23,26,4.47,0,0,67548.02,58,29360,0.8213,0.43,2000,39,4568,52050,0.4600592737752162,0.2492710432276657,0.1592578731988473,0,1,0,0,21343.3,28295.74,0.07987551867219916,2.9,0.81380621
42,8,Barcelona,8101,"Hospitalet de Llobregat, L'",810103,11.5740740740741,25,22,4.5,0,0,67548.02,58,37130,0.8213,0.43,2000,39,2912,45798,0.2412095244333814,0.3560907703393161,0.1142351827590724,0,1,0,1,21343.3,28295.74,0.15578548895899053,2.9,0.81380621
43,8,Barcelona,8101,"Hospitalet de Llobregat, L'",810104,12.0833333333333,21,35,5.32,0,1,67548.02,58,28301,0.8213,0.43,2000,39,3553,44867,0.4634636169122072,0.1741133305101745,0.1817401051998128,1,1,0,0,21343.3,28295.74,0.1905798062889744,2.9,0.81380621
44,8,Barcelona,8101,"Hospitalet de Llobregat, L'",810105,11.980027476845,23,30,5.98,0,1,67548.02,58,29278,0.8213,0.43,2000,39,3131,39419,0.3887242471904412,0.203478243994013,0.1584678632131713,1,1,1,0,21343.3,28295.74,-0.02717176702862784,2.9,0.81380621
45,8,Barcelona,8101,"Hospitalet de Llobregat, L'",810106,9.70937723693629,21,24,5.9,0,1,50316.32,58,33451,0.8213,0.43,2000,39,1407,30990,0.1714435850274282,0.2309806389157793,0.1403850887383027,0,1,1,1,21343.3,28295.74,-0.07685433422698838,2.9,0.81380621
46,8,Barcelona,8123,Molins de Rei,812301,8.67122427983539,36,50,13.15,0,1,41604.58,5,38638,0.584,0.9,2006,15,373,4843,0.1325859384678918,0.3997475738178815,0.1112549659302086,0,0,1,0,1637.6,5750.57,-0.07752380952380952,5.6,0.82470961
47,8,Barcelona,8123,Molins de Rei,812302,8.9622641509434,35,50,12.71,0,1,41604.58,5,39777,0.584,0.9,2006,15,418,8643,0.1053922364919588,0.3720110494041421,0.09826388985306028,0,0,1,0,1637.6,5750.57,0.041325301204819274,5.6,0.82470961
48,8,Barcelona,8123,Molins de Rei,812303,8.87096774193548,42,50,13.09,0,0,41604.58,5,49218,0.584,0.9,2006,15,523,11623,0.07508997677019702,0.4642784737159081,0.0777679600791534,0,0,1,0,1637.6,5750.57,0.13950980392156861,5.6,0.82470961
